INFO 2025-10-26 21:37:54,679 autoreload 21256 4724 Watching for file changes with StatReloader
WARNING 2025-10-26 21:38:00,285 log 21256 14900 Not Found: /
WARNING 2025-10-26 21:38:00,286 basehttp 21256 14900 "GET /?ide_webview_request_time=1761485879961 HTTP/1.1" 404 2513
WARNING 2025-10-26 21:38:00,315 log 21256 14900 Not Found: /@vite/client
WARNING 2025-10-26 21:38:00,315 basehttp 21256 14900 "GET /@vite/client HTTP/1.1" 404 2528
WARNING 2025-10-26 21:38:04,376 log 21256 21292 Not Found: /
WARNING 2025-10-26 21:38:04,378 basehttp 21256 21292 "GET /?ide_webview_request_time=1761485884369 HTTP/1.1" 404 2513
WARNING 2025-10-26 21:38:04,437 log 21256 21292 Not Found: /@vite/client
WARNING 2025-10-26 21:38:04,437 basehttp 21256 21292 "GET /@vite/client HTTP/1.1" 404 2528
INFO 2025-10-26 21:38:18,363 basehttp 21256 21292 "GET /admin/?ide_webview_request_time=1761485898349 HTTP/1.1" 302 0
INFO 2025-10-26 21:38:18,378 basehttp 21256 21292 "GET /admin/login/?next=/admin/%3Fide_webview_request_time%3D1761485898349 HTTP/1.1" 200 4269
INFO 2025-10-26 21:38:18,450 basehttp 21256 21292 "GET /static/admin/css/base.css HTTP/1.1" 200 22120
INFO 2025-10-26 21:38:18,452 basehttp 21256 14492 "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2025-10-26 21:38:18,452 basehttp 21256 15832 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2808
INFO 2025-10-26 21:38:18,454 basehttp 21256 14816 "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2025-10-26 21:38:18,455 basehttp 21256 15196 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-10-26 21:38:18,455 basehttp 21256 18680 "GET /static/admin/css/responsive.css HTTP/1.1" 200 16565
INFO 2025-10-26 21:38:18,456 basehttp 21256 18680 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
WARNING 2025-10-26 21:38:18,478 log 21256 18680 Not Found: /@vite/client
WARNING 2025-10-26 21:38:18,478 basehttp 21256 18680 "GET /@vite/client HTTP/1.1" 404 2528
WARNING 2025-10-26 21:38:55,392 log 21256 18680 Not Found: /api/v1/
WARNING 2025-10-26 21:38:55,393 basehttp 21256 18680 "GET /api/v1/?ide_webview_request_time=1761485935389 HTTP/1.1" 404 3398
WARNING 2025-10-26 21:38:55,419 log 21256 18680 Not Found: /@vite/client
WARNING 2025-10-26 21:38:55,419 basehttp 21256 18680 "GET /@vite/client HTTP/1.1" 404 2528
INFO 2025-10-26 21:39:31,837 autoreload 21256 4724 D:\Projects\testProject\documents\urls.py changed, reloading.
